snid,x0,t0,x1,c,z,snra,sndec
30,4.4980593242e-05,61287.4243187,-0.428708335646,0.0584060970785,0.227355,53.3319917384,-28.659104016
31,6.82353272846e-05,60316.3627759,1.24702908896,0.000107279131676,0.23896825,53.1925758038,-27.9608198357
32,4.83791610096e-05,61917.484547,-1.33754938828,-0.0612341659438,0.2351867,53.2527380415,-28.5099878837
33,5.9927682301e-05,61343.2048998,0.898057069925,0.0483129238341,0.22448254,53.5202066587,-28.3360202753
34,4.31065555361e-05,61424.1140281,-1.59485405988,-0.0210124102231,0.23087394,53.394563851,-28.5316448988
35,4.12715800707e-05,60992.1581766,0.606095300069,-0.0216377941098,0.2253139,53.7138520235,-28.5963678305
36,5.23084333193e-05,62476.7767087,-1.93209035753,-0.00588660663918,0.2244767,53.5198212559,-28.3586145283
37,4.32131847341e-05,61697.0152529,0.72420872996,0.0839460542134,0.23300481,53.6483146176,-28.456228477
38,5.86983173881e-05,60172.3898845,0.201773823385,-0.0426657873183,0.24844599,53.341674903,-27.91590218
39,3.52882323907e-05,62137.7460651,-1.01951168754,-0.00173490417686,0.24923635,53.5646849717,-28.0021438665
40,4.24465857387e-05,63100.6114423,1.31820164931,-0.0216043115918,0.24113274,53.4178285921,-27.9229359508
41,5.89860197491e-05,61405.0305183,0.994693381354,-0.0396334141136,0.24318302,53.7244730174,-27.8519968425
42,5.27501729162e-05,62826.7482334,0.613912187235,-0.0798589062484,0.24252248,53.5943285663,-27.6581530854
43,5.46707979088e-05,60826.8898322,0.329983997441,-0.0658583482838,0.24785519,53.6324585235,-28.3354762533
44,2.45680634316e-05,61650.0760658,0.807084400109,0.226373561072,0.2427063,53.7519631481,-27.6614785368
45,8.05669537004e-05,61140.542766,0.803977229653,-0.109694475816,0.24641359,53.5897261637,-27.9010454124
46,4.21564013506e-05,61174.12751,0.394556250584,-0.0403956981593,0.26174009,53.2784160873,-28.5055649047
47,4.84116843677e-05,62414.4410252,0.728149002732,-0.0450491397375,0.276456,53.601133936,-28.2420079533
48,4.6115416274e-05,61534.9552333,-0.187284868656,-0.0428185066738,0.26195931,53.3154114187,-28.489804104
51,2.31173024666e-05,59879.6464663,-1.74776529063,0.081130352793,0.27821362,53.5370420961,-28.0848982708
52,4.50122800335e-05,60917.1497661,-0.935292027444,-0.115629457695,0.26993477,53.6524947586,-27.4816617965
53,2.83674507235e-05,62685.6043396,-1.11270809654,0.0181930654562,0.26933634,53.671281167,-27.8854601409
54,2.65208156311e-05,61062.9039071,0.934519497115,0.0995919890911,0.27651167,53.5938282899,-28.252286962
55,3.14902445935e-05,59679.2886355,0.317610995394,0.102695993739,0.26130247,53.4519094812,-27.821973049
56,1.78742251191e-05,60482.1969223,-0.103865115695,0.156792723054,0.27640486,53.6080285392,-28.216693052
57,1.81176176862e-05,59825.0769532,-1.24731050468,0.106975784349,0.27654409,53.6011290724,-28.2682127317
58,2.7526213995e-05,63207.5598417,-0.395110635782,0.0523949347153,0.26885188,53.7048993187,-27.9860001673
59,3.84684338376e-05,63122.6181438,-0.011401289584,0.0259930204253,0.29546952,53.4831044942,-28.0222642747
61,4.72324215123e-05,61776.6324931,0.461448916611,-0.0802957183834,0.29998851,53.4825571465,-28.640155441
