c mB snid t0 x0 x1 z rand_host snra sndec
-0.055254418579028186 -19.41994496635348 1 59674.6307461718 0.00021799670296604877 0.42421989651822023 0.13949615940798704 0.9469626038148141 54.64911002351287 -29.172931343462658
0.04486093190143852 -18.953540950184355 15 62446.473289530855 6.880305668752896e-05 -0.5093699624653366 0.19383132417892676 0.9784269160148309 56.165622467210795 -28.337407748496872
-0.06248249626085685 -19.274659759454966 24 60044.13389670966 8.172481200899481e-05 0.47346326859562093 0.2044791133336093 0.9421662328554996 52.564571874086724 -27.443538280896583
-0.07328614549464757 -19.612664585562463 49 63061.159128348765 5.7637586512730334e-05 1.4926895854448148 0.2728696281639328 0.9557398410881859 54.0756628631592 -28.633107862232926
-0.08710784076014644 -19.49123410070089 50 61566.359784540575 5.318340414081816e-05 0.38112915342895326 0.2696735269797892 0.9016021928073807 53.297779454085564 -28.167989077345634
-0.07559880461612856 -19.081428844006442 60 62500.94298163394 2.9687456831811765e-05 0.8143388017905796 0.2945813767313086 0.9179458057039298 53.02569297384399 -31.64651693413665
-0.04524695895084172 -19.528673593587904 62 62372.10349064864 4.996863287666116e-05 0.9569959150934175 0.2810080404978272 0.9164077220658395 53.49530105688836 -27.68024580290636
0.06482223355965575 -18.743289754035867 65 61492.84409484633 2.0901395193674083e-05 -0.9327292119957243 0.3004756707671664 0.9515877600012642 54.29180363521524 -28.184325792593544
0.026383831767205275 -19.190995895321695 68 63168.51007555383 3.355728309689693e-05 -0.5016588772459353 0.29249423009416203 0.9725177804264937 54.547837371153356 -30.77660032510654
-0.04701522511876463 -19.26826371248992 79 60563.2691112265 3.145626259407066e-05 -0.3276261103707828 0.31001747872826696 0.9054752252177427 55.25808367001679 -31.869455228100666
-0.0033838605578254966 -19.290431590501584 111 62915.79149165273 2.5046682274363275e-05 -0.10650752639266603 0.3446322570266153 0.963544780062434 54.65997257201648 -28.51737352137113
