snid,x0,t0,x1,c,z,snra,sndec
0,0.00289658564154,61171.3813928,-0.00065659746907,0.0231054738653,0.0249995,53.7971184977,-28.0364028681
2,0.00188769399681,61586.2680443,0.59343350957,0.0336693846443,0.04400241,53.692420902,-28.6416887234
3,0.000498824745883,61168.9267331,-1.23725074233,0.0799359776351,0.06801605,54.5120406994,-25.6879448194
4,0.00111791052114,61114.3424776,-0.817976455311,0.0551818805446,0.04137039,54.9036652503,-28.6645409441
5,0.00131561340501,60785.7220967,1.15021738534,-0.121414870484,0.07865262,55.587425318,-28.1087658123
6,0.000629236014475,60326.9675142,0.459587460213,-0.0442057286804,0.06808615,54.3809372534,-25.5738433777
7,0.000563455278466,61840.3390272,-0.511941720066,-0.0366267542701,0.07469714,56.6497862004,-26.5897404233
8,0.000446415318579,60673.7395589,-0.435802592935,0.108926902504,0.0761286,55.4839161303,-26.731706403
9,0.00113607980884,60553.9195541,0.167348584405,-0.100116613479,0.06776166,55.6211914878,-25.759824439
10,0.000863412139427,61847.1384896,0.670542814894,-0.0176899567779,0.06769645,53.6335306042,-28.9137297182
11,0.00108881371038,61511.3686441,0.461504728525,-0.0814170315883,0.0680275,53.8408029886,-25.9849000916
12,0.000799839212622,60071.2168005,-0.371922872377,-0.0435282337518,0.07955062,57.9107362424,-26.4808457885
13,0.000616300518578,61454.5601426,-0.648313983336,0.0985584517086,0.0655334,57.4628582448,-30.3251188446
14,0.000207071465377,60253.2055096,-0.297927114526,0.291388929672,0.07063186,53.2999391981,-29.3606336192
16,0.000685649827718,62697.0098181,0.357000462581,0.102258315438,0.074628,55.7146021212,-27.0258043991
17,0.000603096970771,61383.9644564,-1.05204759524,-0.0593835944529,0.06570113,58.2770291527,-30.3053872775
18,0.000835167277214,62669.9494216,0.839516442993,-0.0248897017004,0.06790435,57.3789406531,-27.55884006
19,0.000401730843052,59870.7059911,-1.48537287013,-0.066379605992,0.09987819,57.1645747754,-28.8260613424
20,0.00036459660433,61424.1482289,-2.25548836141,-0.010614744324,0.09183395,55.7829165351,-26.29752349
21,0.000255954991018,59818.295741,0.928038366911,0.0745122844307,0.09120822,58.2402632934,-27.0846091057
22,0.000733096003907,61142.6464957,1.21043821364,-0.0346408220631,0.09069717,57.5205478661,-26.9988464859
23,0.000516060107107,59932.3378422,0.898901297722,-0.0203036000601,0.09293807,54.2480219663,-29.2664334287
25,0.000288576480614,61758.1203778,-1.15486994947,0.0328804223094,0.09467483,56.7719425667,-27.5645411227
26,0.000537316748198,60404.9438022,0.679220439855,-0.0595792130931,0.09570968,55.7203989509,-27.0907560745
27,0.000451477641193,59970.3517477,0.0910381776902,-0.0816945168797,0.09111536,56.8931881097,-26.7322420887
28,0.000363537191151,60384.1176558,0.243974413547,0.0826646561093,0.09366727,54.301087912,-29.3328031208
29,0.000440356804753,60856.8659403,0.879364286855,-0.0378055894982,0.09992492,56.9944319556,-29.0088880137
30,0.000357261648717,61287.4243187,-2.47493664107,-0.0705472034278,0.09370196,56.6111419748,-27.0948753611
31,0.000220632929829,60316.3627759,0.559663776005,0.114662964519,0.08105385,56.0605717029,-29.3226522244
32,0.000235744177772,61917.484547,1.11699433893,0.0840442011087,0.11639595,56.0196318445,-28.3814909554
33,0.000385189655839,61343.2048998,0.857360330839,0.0475567530162,0.09654796,55.7145765674,-27.1690146397
34,0.000423209719895,61424.1140281,0.776988445734,0.0227505150162,0.09593189,57.2599423446,-28.0197453773
35,0.000573081655673,60992.1581766,1.02071223571,-0.0721343464043,0.08977103,56.2782139894,-26.6191430101
36,0.000386669734893,62476.7767087,0.382148922174,0.0553932074927,0.09427249,55.5806805282,-26.6615490315
37,0.000507782932848,61697.0152529,-1.96854240042,-0.167286616106,0.09586465,57.2571356732,-27.9713804924
38,0.000413975127516,60172.3898845,-0.882410369122,-0.0670277356329,0.09983182,55.8441924616,-27.5691039712
39,0.000499835488424,62137.7460651,0.661718841788,-0.0569230068378,0.0885365,55.4331706592,-25.620630022
40,0.000239712451567,63100.6114423,-1.98567230589,0.0792735499202,0.08861291,56.0638307538,-25.7906113788
41,0.000377258196529,61405.0305183,-0.216890425626,-0.0332943919855,0.0936873,55.465645096,-30.4460020612
42,0.000485417382412,62826.7482334,0.650832227852,-0.0466732585038,0.08727133,55.4416467191,-27.3158312618
43,0.00023216344226,60826.8898322,1.46916368812,0.0507849878173,0.12800503,55.2191487139,-26.6920402204
44,0.000239831466513,61650.0760658,0.515978550056,0.178036235836,0.10250103,53.979161637,-26.949396034
45,0.00029406015103,61140.542766,-0.5614510753,0.0350307759478,0.11880684,58.3460384624,-29.0230801907
46,0.000381208434407,61174.12751,0.744207355194,-0.0681950962101,0.11443758,57.1416189957,-28.3487292123
47,0.000226852174613,62414.4410252,-1.25424802831,-0.075039066891,0.11324596,57.8322725297,-26.2132916494
48,0.000215882844826,61534.9552333,-1.68617176149,0.0860145748361,0.11489332,56.6922797119,-30.2874734527
51,0.000417775695637,59879.6464663,1.00727737579,-0.0977118808579,0.10226059,57.2445783839,-30.1363272055
52,0.00029637425631,60917.1497661,-1.62794541419,-0.0406205856722,0.10038102,57.1698036602,-28.3768410522
53,0.000303296738495,62685.6043396,-1.25507241718,-0.00756215586038,0.1139667,54.184239223,-30.0774702493
54,0.000337751153762,61062.9039071,0.526509828446,-0.0178908131763,0.10021138,57.0699446175,-29.0139406466
55,0.000219889931651,59679.2886355,-1.06425801791,0.00167365362043,0.1004343,55.4124648723,-28.1797776925
56,0.000325571708588,60482.1969223,0.693038552064,-0.0654002310637,0.11631167,56.0626201231,-27.1869619164
57,0.000173627959499,59825.0769532,-0.774214895322,0.0616334182941,0.10838556,54.1161221411,-26.9936705205
58,0.000209975162701,63207.5598417,0.0871900536177,0.0972499736095,0.10010862,56.9613597717,-28.650702373
59,0.000375748308885,63122.6181438,0.268310068211,-0.0841789720833,0.11019111,55.0197972269,-28.8241521756
61,8.26618698889e-05,61776.6324931,0.106814765172,0.276449831505,0.10767126,56.8518270933,-30.4810836855
63,0.000308643602345,60197.67288,-1.51743442673,-0.103244657841,0.10006559,56.8429603363,-28.788797318
64,0.00019519156722,60649.5347961,-2.31630220807,-0.042307583343,0.11058176,54.810382347,-26.1410785571
66,0.000248541742068,60881.6786261,-0.135523362768,0.0574472207031,0.10217071,53.5698186862,-25.8972663735
67,0.00028608103475,59746.7282231,0.645606963385,-0.0402735477276,0.11407614,54.207334635,-30.1238830747
69,0.000115192532122,61190.9454556,-2.85503407005,-0.0150710062764,0.10110867,54.7353586165,-27.6546550613
70,0.00027206497199,61419.6016037,-0.765123413077,-0.00444579241773,0.11099088,53.1749888234,-29.4143696634
71,0.000304847969798,60760.925809,-0.11796832854,-0.0411247252553,0.11364603,57.2627750876,-27.3689722372
72,0.000283586939823,60528.0683475,0.714783218468,-0.0533453833278,0.11236346,53.4436852812,-30.0400552637
73,0.000176987076176,60992.1480814,0.80081750459,0.120286327412,0.10808575,53.4689701761,-26.07371237
74,0.000317924222022,62616.8616837,1.03675681893,-0.0796272891211,0.13636374,57.8590458254,-26.9507534289
75,0.00023312280892,62269.1267554,0.307427856352,-0.0337913042759,0.13901973,55.2885875474,-25.7166276148
76,0.000224314942795,60964.1185693,1.30872191087,-0.0204124847855,0.13246608,54.2971325475,-29.830187074
77,0.000181948206886,59627.5132789,1.32176099225,0.0143610308597,0.13707852,54.9614950572,-29.9992375125
78,0.000212045649967,62490.5280275,-1.63590881869,-0.0141507690476,0.1270808,55.7738475117,-26.4587794453
80,0.000159273132297,61706.7998431,1.14484059715,-0.00386237017083,0.12695622,56.4149132542,-29.8538782599
81,0.000198079853708,59673.2609378,1.06393226146,-0.0653005981975,0.13627732,58.5842712252,-26.1210596281
82,0.000181715438787,61997.0373703,-0.620433373917,0.0826781671637,0.13212955,54.3538040645,-30.1724924915
83,9.67679579388e-05,60994.4605044,-0.788498503429,0.134265655993,0.14108026,54.969604897,-26.1660430474
84,0.000151619505604,61394.3193654,0.197954232914,0.0564196253449,0.12039971,57.534811521,-30.0704636219
85,0.000216236767699,61094.4063064,0.587129904156,-0.0798851403516,0.15632975,57.7471111285,-27.5370261991
86,0.000164912602882,60860.6824398,1.4835921566,0.10419984532,0.13951588,54.1727225653,-29.0594773644
87,0.000141408975435,61591.0693544,-1.14036311563,-0.0255793748962,0.13629079,58.5582901447,-26.1417164721
88,0.000159229463581,63131.124018,0.352225955009,0.0265982825951,0.12859535,54.7720863982,-27.418385482
89,0.000183722975302,59991.6331856,-0.802530532975,0.0148008721503,0.12734771,54.2372212015,-29.404792653
90,0.000148589238412,60723.3936288,-1.02142896731,0.00973075133449,0.12698328,56.5456179802,-26.4072068367
91,0.000201883004393,59732.5616408,1.23453818264,-0.0492839188408,0.13481724,54.8727876142,-28.7639971878
92,0.000142535877797,62275.159119,-1.60282156736,-0.0624592499025,0.12239218,55.2634685488,-28.0471517712
93,9.94311126179e-05,61979.920215,-0.269076070277,0.115905528003,0.12705243,57.3503785314,-27.2512716207
94,0.000205278596606,60363.4204744,0.51463307345,-0.0518958011304,0.1351614,56.1726002447,-29.0590586866
95,0.000137677514707,61101.1500567,1.05380679994,0.0864797656548,0.12884879,54.9623770523,-28.0896999011
96,0.000201225325544,61930.0230596,0.418822287237,-0.0230467813252,0.13588619,56.4198098579,-28.1093650919
97,0.000168484994478,61994.4068425,-0.863289341636,0.0125930636121,0.13984704,54.5412521562,-28.4304854995
98,0.000272106469703,60202.2415372,0.595408028146,-0.0652534931605,0.13105631,54.6029036117,-30.3756648011
99,0.000209900979178,62798.0306605,-0.257664211209,-0.020200116786,0.13687718,57.6330117112,-28.0449569832
100,0.000282610556311,62419.7297833,1.62864429765,-0.0548749889991,0.1345433,53.9532533946,-29.1182525862
101,0.000236710640171,60068.9328598,0.697716608821,0.0180158136696,0.12842393,57.5429626057,-27.1671955375
102,0.000142023976873,62751.5456865,0.149168720143,0.101439951707,0.13488054,56.5909643822,-28.1483366224
103,0.000205948413196,62313.0392557,0.229535559302,-0.0431696499399,0.1313535,55.1938770993,-26.5148580004
104,0.000104587669151,62494.8376375,-0.465246230389,0.0989891292265,0.12836504,57.5617706917,-27.3291719752
105,0.000127649271797,61563.2100916,0.447395198814,0.0540261239787,0.13764489,57.6112578331,-27.9269739657
