snid,x0,t0,x1,c,z,snra,sndec
1,0.00209269623085,59674.6307462,1.57930992567,-0.0860481787819,0.0523770287417,54.6491100235,-30.3012501368
15,0.000934345489459,62446.4732895,0.385520039132,0.000704448966508,0.0623307296271,56.1656224672,-30.7068466885
24,0.000553617506093,60044.1338967,-1.20990480748,-0.0843744257892,0.0957013192658,52.5645718741,-28.2205025482
49,0.000241931154184,63061.1591283,1.59428224725,0.0227882526161,0.119959404224,54.0756628632,-27.4589875625
50,0.000197873843154,61566.3597845,0.937431816921,-0.000707452410719,0.117542309423,53.2977794541,-30.8692658828
60,0.000355077856392,62500.9429816,0.30815060535,-0.10577211009,0.117894688908,53.0256929738,-29.3110266156
62,0.000324250641403,62372.1034906,-1.06035420181,-0.0779192062265,0.110197605316,53.4953010569,-28.9830765247
65,0.000267632121207,61492.8440948,-2.44849102173,-0.0219568228206,0.106714377035,54.2918036352,-31.9351328004
68,0.00026213122476,63168.5100756,0.709556261331,0.090523914991,0.101310665511,54.5478373712,-31.7981143274
79,0.00021066824934,60563.2691112,0.28101839379,0.0160213436113,0.1294038736,55.25808367,-28.9351144877
111,0.000154575207544,62915.7914917,-0.758622638589,-0.00261877607404,0.136952776079,54.659972572,-29.0055762887
116,0.000151166739735,61856.0056237,0.246378484547,0.12669108196,0.12604733403,55.990097502,-31.8879817169
137,0.000181511238631,63188.0604079,0.211595823606,-0.0102345511802,0.150337600455,53.5862612487,-29.4987259948
141,0.000159528356594,60169.3529546,0.335341145062,-0.0471525223761,0.147245396754,56.954587182,-28.9519495807
143,9.52112420806e-05,60373.518856,0.340652241577,0.0380235963507,0.159192710499,52.700937966,-29.8671244374
153,0.000184434565757,61732.7042689,0.491519638989,-0.0665680662555,0.153333701343,55.9163375509,-30.9127742037
168,0.000235689931448,61132.5906155,0.788121517222,-0.0638869332223,0.147487249195,54.6505240118,-29.1977926936
182,5.99682818708e-05,62311.5650976,-0.408444179387,0.120604484651,0.176404774691,55.3574491422,-29.9551778453
192,0.000141895140047,61996.1824351,0.677126484692,-0.0974916677163,0.167004966791,53.265934693,-31.3940541624
194,8.89223300289e-05,60313.0745548,0.203374016542,0.0112997257999,0.179026168727,53.5545074454,-32.2169231262
196,4.930285002e-05,62959.5408273,-0.453175352856,0.192289955929,0.180494807417,56.5677228434,-30.6477237055
204,0.000154223624183,61105.1022906,1.03461709205,-0.0965838615205,0.16420790359,57.4053078786,-28.0758473178
230,6.7954315091e-05,62182.4766214,-1.33080401609,0.0951232790485,0.171222829566,54.1311208908,-30.2439092699
239,9.5410368241e-05,62701.1867619,1.32316552283,0.0677536129886,0.166341440394,56.0256130783,-29.6627521198
272,5.67796383057e-05,60241.1983373,1.07116404252,0.11158896498,0.193370271338,56.9459457615,-28.1639743537
278,4.25925348662e-05,63211.5684489,-3.37792423925,0.0367645463534,0.196919338839,57.0370333175,-32.0988811778
288,9.40274310098e-05,60869.230705,0.398723314214,-0.0970628192702,0.199185864091,52.9892210568,-30.7725270428
