galaxy_id c mB t0 x0 x1 rand_host zbin diskMassStellar morphology/diskHalfLightRadiusArcsec morphology/diskMinorAxisArcsec morphology/positionAngle morphology/spheroidHalfLightRadiusArcsec morphology/spheroidMinorAxisArcsec size_bulge_true size_disk_true totalMassStellar uniqueId raJ2000_gal decJ2000_gal z zbin_gals snid snra sndec
5481355 -0.04498873396058662 -19.336775191519067 61171.381392818315 0.00022905252046758989 1.1347026076328575 0.5172978838465893 6 20721310559.256874 0.9889348015795835 0.4910748182408204 86.89275632394077 2.0640746593172734 1.3054281963079484 2.0640746593172734 0.9889348015795835 42529107625.15047 5612907599 53.42787807 -27.81455496 0.12708366 6 0 53.42797170103561 -27.81441520987564
11725278 -0.04360874978356073 -19.19587894374082 61586.26804425729 0.0001599396096185289 0.3411402591104208 0.7654597593969069 7 1744369051.628239 1.0340077650897563 0.6887315478214101 115.00772273749894 3.7341794289697035 2.7915721464655747 3.7341794289697035 1.0340077650897563 22875485915.538586 12006684751 53.60990726 -28.31877955 0.14221931 7 2 53.609853815134024 -28.318485093013855
11726929 -0.10899877257524634 -19.635364696908496 61168.92673305671 0.00025380584690014193 0.9678117266387487 0.2823958439671127 7 6183269688.459486 0.9595354086450073 0.7488898044916033 168.19926090960854 2.077345819277982 1.2121706787755617 2.077345819277982 0.9595354086450073 14551828208.76159 12008375375 53.42725201 -28.56017024 0.15042865 7 3 53.42718433646082 -28.560290394572988
11728802 -0.06222799351178824 -19.196680138606727 61114.342477619335 0.00014044058119775708 -1.5084036775322525 0.22104536326165258 7 1.4057748702950077e-05 0.609599232708396 0.38757606469811157 118.0519441125721 5.834642395154165 3.477108008703469 5.834642395154165 0.609599232708396 109719699008.44559 12010293327 53.27519045 -27.94641236 0.14067662 7 4 53.28079196719488 -27.93576947545531
11097026 0.09751197030161998 -18.688673152436564 60785.72209666414 8.647118508601607e-05 0.2658145022343492 0.6862220852374669 7 8552504821.870691 2.463614760982463 1.4930360926060184 100.1019596627046 3.3319018261538758 2.300872357817645 3.3319018261538758 2.463614760982463 36741398898.988235 11363354703 53.4455476 -28.14054888 0.15132463 7 5 53.44493572583875 -28.140639559707232
11098695 0.005538295702290877 -18.99670578132207 60326.967514238124 0.00011118431549341225 -1.156413760141052 0.16713920310005626 7 689959645.820342 1.5188740705536146 1.2033753563859946 41.001813842038636 1.6649913695253153 1.308218387725531 1.6649913695253153 1.5188740705536146 1696494646.0827327 11365063759 53.52162127 -27.4176348 0.15362763 7 6 53.521657721243606 -27.417560862334305
6624098 -0.10367634613471403 -19.119420361827306 61840.33902717992 9.509675814972927e-05 -0.954130288060019 0.39244246646503067 8 856417487.4014561 0.6509899786602119 0.26116385029698685 109.44647991006781 3.956267609289796 3.1590694783993847 3.956267609289796 0.6509899786602119 44381341465.869705 6783076431 53.70085221 -27.77759893 0.1680764 8 7 53.70141590865109 -27.776130438670098
6641102 0.012661889686593715 -19.374337869378643 60673.739558912006 0.0001522100261389663 0.10353932316765058 0.6180523472528092 8 16541614378.01243 0.7403312847418668 0.3807156437135019 13.109497376131369 1.512360521841116 1.0430403649137676 1.512360521841116 0.7403312847418668 31328412605.87075 6800488527 53.29211609 -27.90262157 0.17565584 8 8 53.29229019819595 -27.90297331436301
6622665 0.048750480209238965 -18.912164053260916 60553.91955412547 9.378460294154791e-05 -0.19504748800577365 0.411930094858746 8 9175485180.150238 1.873033039194749 0.6197662344921526 1.9225743675980043 2.2386266208728096 1.8495280094888567 2.2386266208728096 1.873033039194749 15087398393.706535 6781609039 53.67371858 -27.79003791 0.16808259 8 9 53.67344525728161 -27.79055401864102
6641098 0.10037900762444082 -18.385386223317347 61847.138489607925 5.253661300634802e-05 -1.9253596916174427 0.002464881200886171 8 27289358789.996586 0.9706496881158145 0.5466497606604354 140.39950901202985 1.6176130132288735 1.4643569182003495 1.6176130132288735 0.9706496881158145 45637114451.92028 6800484431 53.28042627 -28.11763045 0.17579854 8 10 53.28031740438334 -28.11728860935874
