snid,x0,t0,x1,c,z,snra,sndec
32162,1.4463111616e-06,62424.3449337,-0.864391353946,-0.0276984300138,1.00046684611,53.0341555481,-28.867835036
32180,1.57840033121e-06,61495.5518052,1.35760004561,0.020814451281,1.00048645601,57.1798897951,-27.5964946863
32182,1.13611864517e-06,61994.930231,-0.0736579257148,0.0628100430311,1.00016915434,55.0685317244,-29.2768680957
32183,1.60287206788e-06,62074.7101236,0.0516166258508,0.0362708740593,1.00082829853,55.4945872409,-28.6713406816
32187,1.62694920689e-06,60905.8286733,-0.931507951238,-0.05689906991,1.00092645299,54.007027981,-31.5615918139
32189,2.23034433244e-06,62972.3271075,0.513138471839,-0.0533754379206,1.00097670397,57.3087841191,-27.3532731437
32200,2.2623431879e-06,62222.1209922,1.41939567081,-0.0441630193777,1.00055747741,57.5523168064,-29.604014236
32220,1.7347400608e-06,62715.3656952,0.975753998114,0.0262066179689,1.00024446053,55.6418123699,-29.2173349028
32233,1.07686651161e-06,62976.0195761,0.0817704074222,0.0345515596687,1.0006579155,54.7341153441,-31.5630099623
32269,1.16267435796e-06,60919.1330304,0.475061941118,0.000511366079744,1.00019629205,55.8169281698,-30.9523213734
32281,9.36795727429e-07,61525.4616486,-0.6670551291,0.109014594199,1.00095272536,54.5498907212,-31.8969091152
32347,1.50332476079e-06,59587.0350011,-0.0115954539802,0.0454531729794,1.00052245132,56.5218589136,-28.5562361446
32427,2.48379229449e-06,61337.8172007,0.198267145675,-0.126341416461,1.00063599442,53.3994993877,-28.1595484153
32434,1.3190854627e-06,61024.0542596,-0.570684150989,0.0545268454674,1.00005932276,53.5713315984,-28.4308053843
32450,1.67018316432e-06,61264.457871,-0.645244116791,-0.0469858437431,1.00061421596,52.6661987567,-31.9996580638
32457,1.47494901773e-06,61966.991529,0.0395155156865,-0.022384604863,1.00066681541,52.6510859265,-29.3242611135
32517,7.971067966e-07,60278.3635557,-0.637307608026,0.141750195937,1.00050377755,54.8509433805,-28.0960646079
32555,3.2772722559e-06,62401.3647868,1.18919308556,-0.141873811184,1.00023368013,54.1323014859,-32.1467042985
32613,1.34675548198e-06,62544.3828158,-0.86847088099,-0.0531452730304,1.00031468539,52.7194974534,-28.1208972662
32629,1.56361900413e-06,59728.7235462,-0.37085649487,-0.0579868764137,1.00073391137,52.599955747,-30.7775905378
32644,2.48610875867e-06,61999.9869525,1.04013668451,-0.122609842987,1.00020347426,54.8874854338,-29.4056556133
32655,2.18902187018e-06,63188.0743273,1.43206094432,-0.0776867898027,1.00006864687,57.3533977999,-30.0540354757
32716,1.21320234531e-06,62911.0911375,-1.711348921,0.000781509533246,1.00092599193,52.6664328622,-31.1163173551
32761,1.91993325522e-06,62668.32938,-1.16736128951,-0.021983228641,1.0008221203,56.6609891123,-27.9940664365
32778,1.8776942754e-06,62218.3803404,0.650042561891,-0.0712468293653,1.00038792947,53.1007775495,-31.2913173431
32832,7.59947498598e-07,61208.8755105,-0.21498048936,0.242947718643,1.00087466346,55.2958718943,-30.977251173
32839,2.43336515132e-06,62007.2364125,-0.0876217073721,-0.137113362558,1.00019980063,52.6899010074,-30.3120846055
32843,9.02713455261e-07,61405.185821,-1.43077023324,0.121631198756,1.00081977987,52.975356012,-29.5607925436
32850,1.38838206171e-06,63013.6670101,-0.0947061536744,0.00172722599078,1.00055792671,55.1192387537,-29.8746401977
32869,1.79199209562e-06,61177.2167339,0.943994087072,-0.0582809243448,1.00004567761,54.7190534391,-28.5149683975
32881,2.71060414266e-06,61286.4428446,0.0622327930899,-0.129486932186,1.0004679401,56.7629676396,-31.8600791849
32884,1.03726171143e-06,63124.5567744,-0.375384909936,0.00260480915234,1.0005624647,55.4885878724,-27.507786058
32917,2.30529433047e-06,60443.0761456,0.941546133581,-0.0766568837113,1.00022512044,56.0046392921,-28.3140292031
33006,1.90192948023e-06,62261.8766341,0.936813335856,0.0297188243108,1.00094852281,57.0230703584,-30.2313805885
33035,2.01997025585e-06,61852.5794666,0.270100903691,-0.0410281113054,1.00042493075,55.1543761197,-28.5157978915
33044,1.69668195028e-06,62953.7468521,1.05183349917,0.0341331328064,1.00000542209,53.1222236425,-29.1290749743
33047,1.80766572124e-06,61027.6608254,0.565895144573,-0.0695860725984,1.00039028711,55.7858160057,-30.8639635871
33068,2.76405269788e-06,60628.2530042,-0.0776432658766,-0.0783933644224,1.00054348371,57.4109489157,-32.2558218456
33069,1.83481245754e-06,61991.0470378,-1.13695469594,-0.0786181569268,1.00023400566,55.1781186949,-30.7137656591
33080,1.04061949748e-06,62741.7709441,-0.693533377208,0.104831846915,1.00031493654,52.9546126955,-27.6576630058
33110,2.08345419271e-06,61497.693335,-0.375982464871,-0.0371586745426,1.00014044822,52.7544666633,-29.8733545461
33204,1.7525526442e-06,62187.8564749,1.48996199554,-0.0145072080683,1.00048275105,55.9131500071,-31.4148270336
33325,1.0434642e-06,60923.559794,-0.633003457719,0.0966147966715,1.00068309698,53.3013498164,-31.253941252
33351,1.47417881424e-06,62528.0665604,0.139504720868,-0.0247398329235,1.00023020731,54.2390355097,-31.7871174987
33392,1.16389159613e-06,60243.7962117,0.457368446192,0.0717487056808,1.00073630578,56.4472032896,-29.9491938374
33397,1.27515589673e-06,62905.0142924,0.779814739001,0.113677815519,1.00055938578,53.7652155005,-30.6597379192
33412,1.8896245537e-06,62191.1351846,-1.96507888472,-0.0953777806876,1.0054871421,53.6191826308,-27.4018332727
33413,1.00623105948e-06,61199.8464303,-0.844064908256,0.0850198248655,1.00187232863,53.4509065673,-27.5511400388
33414,1.28719894281e-06,62231.3182711,-1.03712722641,-0.0166395563024,1.02037174229,55.7895108068,-29.9934365651
33415,1.39543348034e-06,59620.2532813,0.470440611102,-0.0197500159937,1.0189414181,57.2991840652,-28.5852302752
33416,2.56537078089e-06,60241.7473069,1.01818505161,0.0115171368254,1.00812033708,54.6103165781,-28.9204915276
33417,1.08776008468e-06,62460.6680501,-1.21334902017,0.101444170008,1.01005584484,56.0483593964,-31.0182621671
33418,2.21990814932e-06,60484.7707178,1.1845131893,-0.0887705118379,1.01211038426,54.5838652262,-30.6423730864
33419,1.4379014618e-06,62806.5728965,0.0816697091991,0.0688669503038,1.00271243982,54.3130810785,-27.9387553686
33420,9.35778107941e-07,60076.6241803,-0.992975736441,0.0768689892455,1.00305977631,53.2288445086,-29.9231327747
33421,1.47051983588e-06,62248.0435409,0.170238939047,-0.0307778892281,1.01891196726,52.6635629649,-30.3600562311
33422,1.20934298074e-06,60920.6012101,0.0809638974816,0.128108851678,1.0121224348,53.1623531452,-29.639625094
33423,1.62359583061e-06,61866.6605329,0.160928898182,-0.032893638266,1.01221980208,54.7852029718,-31.8170052547
33424,1.26951510035e-06,60710.3308963,0.66879024123,0.108200308921,1.00446026672,56.2129237495,-29.9992212421
33425,2.1574540784e-06,61978.701094,0.768220011467,-0.0645221865859,1.00698240601,52.832451286,-28.4346045558
33426,9.16161624983e-07,60912.6038165,-1.27072876764,0.0355211036327,1.01176360103,53.6723389354,-30.8997879487
33427,1.12077574359e-06,59893.8441943,0.770702070772,0.0751081014697,1.01954678429,52.7193224987,-30.2316471838
33428,1.72193725775e-06,60009.012377,-0.977420988559,-0.0429718308982,1.00176097698,56.7306220123,-31.881351997
33429,1.61961475068e-06,59662.4202874,0.667726320982,0.0395042444273,1.01330658096,54.4733785895,-29.6435170905
33430,1.5226868787e-06,63168.8299436,0.714812802274,0.111548618837,1.00840795903,53.9868960846,-27.5693073375
33431,1.80398842332e-06,59632.9351184,1.02224047844,-0.0449333440804,1.0163426432,56.4823580258,-29.590876109
33432,1.14846250215e-06,63094.903431,-1.15938591374,-0.0469162874773,1.00294156771,53.9585178813,-27.9202690459
33433,1.8659180949e-06,63013.4710375,1.20432073445,-0.0616725483884,1.01196800067,53.9680872509,-30.0385842953
33434,1.90899189446e-06,62391.9369767,-1.53948946328,-0.109588175419,1.00868628132,57.2390067564,-27.9556879299
33435,1.03787316037e-06,60351.390241,0.909973195733,0.149973826327,1.02027719552,53.3850744799,-29.796047294
33436,1.4458248139e-06,62011.4898372,-1.71943116379,-0.10308976577,1.01778454252,52.7535503288,-29.2404008371
33437,1.75414457412e-06,61385.6328748,0.787031231292,-0.0201897098973,1.01154218617,57.3442127589,-30.2991996897
33438,1.42704114106e-06,59973.4053241,-1.12305948136,0.0197052594768,1.00379582763,54.0946742247,-32.1482229738
33439,2.52722609075e-06,62837.0735306,-0.30092371314,-0.117451884153,1.00134731395,54.6343795822,-28.2760578867
33440,1.20405915557e-06,60123.9286349,0.887290201573,0.0450311881942,1.01833777126,56.547961182,-31.1647739336
33441,1.26539348656e-06,61827.3669942,0.206456792197,0.0123777061552,1.01511371796,54.344922622,-29.2414167437
33442,1.75475977077e-06,61847.2894429,0.201612679118,0.00684380698096,1.01045988771,53.0882895624,-30.9900695103
33443,1.44213602868e-06,62521.4246765,-0.22579795535,-0.0482716807117,1.01688988142,56.5085038426,-28.5161034579
33444,1.51886324256e-06,60223.0344468,-1.37273441971,-0.021219547713,1.01734498022,53.212078013,-29.4102332995
33445,1.1862728924e-06,61180.578964,-1.33276413406,-0.0351425148479,1.01677311878,53.5541996571,-30.9500532378
33446,1.03973162444e-06,62517.3696659,-0.334049447699,0.111291145148,1.00374720917,53.2625362687,-29.3216200764
33447,1.12873280101e-06,61699.5152866,-1.74002143241,-0.0199123501786,1.00893488942,53.6722985985,-29.2575180243
33448,8.44558868946e-07,63018.7310292,-0.372148852112,0.194685189041,1.00867613522,53.7407346976,-28.7205706136
33449,1.67982980641e-06,63187.7068383,-1.77220528026,-0.0194026353235,1.00220957022,56.1960198199,-31.9696245366
33450,1.71624342163e-06,62171.2927074,0.115399821709,0.00285580379313,1.01138627164,53.0402200478,-31.0838846736
33451,1.71540444522e-06,61073.9483429,-2.04077698732,-0.0947529000575,1.01261644468,55.9052190585,-30.0874153468
33452,1.68877506347e-06,60537.7256657,0.0489500243282,-0.0639067916338,1.01296816463,57.1186609537,-27.847244439
33453,1.27721036755e-06,60466.6862325,-0.669634194097,-0.0148753748126,1.00633218635,55.7139897541,-30.9522262838
33454,2.06606261808e-06,61944.5578828,-0.0179649694257,-0.0859407225592,1.00343815514,54.2484224157,-28.0764105999
33455,9.8258588012e-07,61229.8166072,-0.433225678388,0.102005847731,1.02062738792,56.7612512744,-31.0489377237
33456,1.6564820236e-06,59814.7264568,0.359981036198,0.00351049144727,1.01440788664,57.056818148,-28.8307941847
33457,1.72599572951e-06,60408.0156502,0.24840463033,0.0206348880233,1.01424716087,55.0312924323,-30.5677244231
33458,2.28761284661e-06,62488.6730389,1.55761681302,-0.0915727762389,1.01340785849,55.381412526,-28.6892104464
33459,1.98008438608e-06,59753.3907467,1.31300748859,0.0246918076367,1.00357877891,55.4673160979,-27.3922957865
33460,7.05900028972e-07,60493.6182145,-0.958995867131,0.220424079323,1.0193055677,53.2277862207,-30.6294514324
33461,2.2143383873e-06,60950.260248,0.837747270598,-0.100451162583,1.00688858261,54.429303374,-30.8964525922
33462,1.65080726445e-06,60570.9326103,-0.268143567126,-0.0434756534067,1.005385936,56.6220708242,-32.0723222434
33463,1.09969788593e-06,61979.4147415,0.0396741377915,0.0210267413523,1.01656921453,55.1620230499,-31.3222956316
33464,1.64128046733e-06,62287.102616,1.16324251595,0.0528281539041,1.00802490547,57.2619234324,-30.9442129845
33465,1.19697130016e-06,60325.4352373,-1.62052159386,0.0206701205249,1.00138012138,55.6430932065,-27.6183918655
33466,1.2715396773e-06,61015.8923152,0.682367138264,-0.0362764383787,1.01742854127,56.4612738719,-29.3960982424
33467,1.12922722122e-06,60130.7690512,-0.991766596802,-0.0438331817106,1.01112723215,53.8041443483,-32.1595880608
33468,1.66494701081e-06,60292.7696794,-0.203488089842,-0.119457652713,1.00275197862,55.3605382069,-28.5579905371
33469,2.88484220597e-06,60711.2404141,1.06790984153,-0.107240337129,1.00706421239,56.6171969012,-31.0445821399
33470,1.81751956762e-06,61336.016813,0.602555052377,-0.13658701666,1.01642267293,53.3275550501,-31.6124116093
33471,1.65618106333e-06,60120.4136577,0.781683339142,-0.0215118065643,1.01944521618,55.2647952229,-27.5734503319
33472,1.27371187864e-06,62189.5228534,-0.0408264251337,0.0664268400777,1.01724278791,55.6155064645,-30.1006178284
33473,1.67888031572e-06,61311.3855621,-1.19661412287,-0.0316802279501,1.01938444911,53.4992840509,-31.9299341896
33474,7.89264936948e-07,62792.1070131,-0.849861230562,0.19324408303,1.00533189827,55.7484528045,-32.0533100599
33475,1.26773094044e-06,62859.3811992,-0.680874231182,-0.0417332429296,1.02028423046,52.9018740145,-29.7664414654
33476,1.41060305934e-06,60884.2812403,-1.75331700766,-0.0441137050334,1.01438631287,56.4616982168,-29.9602225612
33477,1.3185338537e-06,62433.5636675,0.205718531266,-0.034872618524,1.01004797072,54.1938684836,-31.0428626906
33478,1.60241697962e-06,62251.5063184,0.353682489733,-0.0602986543784,1.01882997035,54.9779211891,-30.5862366456
33479,1.02115660662e-06,62925.3802312,1.06977875469,0.089453992811,1.00165373759,54.4755532665,-29.3566633548
33480,1.6140692318e-06,60011.983986,-1.87202883193,-0.109394943023,1.00629231004,54.1988883049,-29.4898383991
33481,3.45034650934e-06,60547.8680417,1.38476546828,-0.122735411755,1.00709161927,57.5023984151,-30.3115907721
33482,1.47825762003e-06,61562.9997182,0.846872174849,-0.015780688342,1.02017339896,56.9589893872,-30.2114019318
33483,1.54456040947e-06,60368.8487813,0.210306841579,0.00405745379477,1.00142435008,54.0754682919,-28.5270797658
33484,1.74148324182e-06,62955.0585368,0.498724666792,-0.00335331562727,1.00319453543,53.3672352726,-31.2882604496
33485,1.46358979747e-06,62336.2785506,-0.262909661595,0.000546272470782,1.01025032074,55.210569995,-28.9415300915
33486,1.28942487347e-06,59584.3680228,0.117252110367,0.0340443476558,1.01116229393,53.2542975232,-30.7970863125
33487,1.93753549673e-06,60718.62073,1.21456595305,-0.0853291205107,1.0155571758,55.8129523804,-28.4442217609
33488,1.39709510166e-06,62711.0056929,0.852582248608,0.100714155901,1.0067192723,53.7287692511,-27.6232752
33489,1.72510592587e-06,61567.0673386,-0.49906031752,-0.0959490636595,1.00188602524,53.0467830105,-29.3836432847
33490,1.51294062533e-06,60289.5902212,0.965514321847,0.0518244709104,1.01163890099,52.6739627503,-28.4535231851
33491,1.85114257998e-06,61806.9736717,-0.981903936335,-0.0380619083782,1.00407387796,56.8593158118,-27.8739926334
33492,2.29733869279e-06,59733.1003128,0.134269692241,-0.0663406714009,1.00818544681,53.277549682,-27.8444023724
33493,1.7574342523e-06,60280.1681739,1.32905925753,-0.0329497942336,1.01497252578,54.5786449597,-27.4831675697
33494,2.03142110162e-06,61501.8577415,-0.216199509552,-0.0527027006588,1.00156873783,53.0318221823,-28.1556702558
33495,9.13064514177e-07,62375.5481227,-2.55040653057,-0.032999521997,1.0151404645,53.153468254,-29.566953297
33496,1.13081096253e-06,60295.8109137,0.537101956418,0.106548916168,1.01534207038,54.4380843482,-29.8536262455
33497,1.20739221323e-06,62914.7802712,1.26656889606,0.113214481096,1.01250354947,53.3909310827,-27.4084841232
33498,8.5497401768e-07,61929.1107761,1.30567865296,0.180641040328,1.00694983935,56.1587612965,-32.2288558214
33499,1.42928088201e-06,61366.2526065,0.0029501879826,-0.0272436455533,1.0178791481,53.1932568115,-30.643891312
33500,1.28782069313e-06,62302.8406153,1.11942607135,0.0941620872814,1.00812953837,56.258168466,-30.0035773801
33501,1.21723309382e-06,60316.0753617,0.0819944930162,0.0660893510922,1.00688748223,56.7709214197,-29.5165774218
33502,1.21228174378e-06,60178.1240502,0.813948648048,0.0367443894687,1.01892016737,52.9774033413,-29.7471642304
